   id,      z_2d,      z_1d,     zs_1d,        dx,         b,         n
  243,   648.335,   646.335,   645.335,    14.142,    10.000,   0.05000
  244,   654.870,   652.870,   651.870,    14.142,    10.000,   0.05000
  245,   664.290,   662.290,   661.290,    14.142,    10.000,   0.05000
  246,   671.366,   669.366,   668.366,    14.142,    10.000,   0.05000
  247,   678.735,   676.735,   675.735,    14.142,    10.000,   0.05000
  248,   686.577,   684.577,   683.577,    14.142,    10.000,   0.05000
  249,   695.334,   693.334,   692.334,    14.142,    10.000,   0.05000
  250,   702.233,   700.233,   699.233,    14.142,    10.000,   0.05000
  251,   713.969,   711.969,   710.969,    10.000,    10.000,   0.05000
  252,   708.651,   706.651,   705.651,    14.142,    10.000,   0.05000
  253,   721.840,   719.840,   718.840,    14.142,    10.000,   0.05000
  254,   732.008,   730.008,   729.008,    10.000,    10.000,   0.05000
  255,   727.798,   725.798,   724.798,    14.142,    10.000,   0.05000
  256,   743.233,   741.233,   740.233,    14.142,    10.000,   0.05000
  257,   756.714,   754.714,   753.714,    10.000,    10.000,   0.05000
  258,   751.208,   749.208,   748.208,    14.142,    10.000,   0.05000
  259,   771.431,   769.431,   768.431,    10.000,    10.000,   0.05000
  260,   765.379,   763.379,   762.379,    14.142,    10.000,   0.05000
  261,   780.676,   778.676,   777.676,    14.142,    10.000,   0.05000
  262,   793.889,   791.889,   790.889,    10.000,    10.000,   0.05000
  263,   788.859,   786.859,   785.859,    14.142,    10.000,   0.05000
  264,   803.804,   801.804,   800.804,    14.142,    10.000,   0.05000
  265,   821.649,   819.649,   818.649,    10.000,    10.000,   0.05000
  266,   814.777,   812.777,   811.777,    14.142,    10.000,   0.05000
  267,   833.447,   831.447,   830.447,    14.142,    10.000,   0.05000
  268,   852.722,   850.722,   849.722,    10.000,    10.000,   0.05000
  269,   844.823,   842.823,   841.823,    14.142,    10.000,   0.05000
  270,   863.451,   861.451,   860.451,    14.142,    10.000,   0.05000
  271,   876.085,   874.085,   873.085,    14.142,    10.000,   0.05000
  272,   889.672,   887.672,   886.672,    14.142,    10.000,   0.05000
  273,   899.626,   897.626,   896.626,    14.142,    10.000,   0.05000
  274,   911.170,   909.170,   908.170,    14.142,    10.000,   0.05000
