   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   95  1407.01700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1407.01700    -0.67362     1.33162     0.00013     1.22816     0.14164           0   0.00000E+000   0.00000E+000   0.00000E+000
   96  1047.45200     0.00908     0.00008     0.00002     0.00000     0.00000  1000.00000     0.00000  1047.45200    -0.12860     2.00000     0.00004     0.30264     1.00000           0   0.67518E+003   0.00000E+000   0.00000E+000
   97  1043.59400     0.00908     0.00017     0.00002     0.00000     0.00000  1000.00000     0.00000  1043.59400    -0.32783     1.49298     0.00007     0.64596     0.67590           0   0.67110E+003   0.00000E+000   0.00000E+000
   98  1033.75900     0.00908     0.00017     0.00002     0.00000     0.00000  1000.00000     0.00000  1033.75900    -0.16561     1.80063     0.00004     0.36367     1.00000           0   0.66532E+003   0.00000E+000   0.00000E+000
   99  1003.72400     0.00909     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000  1003.72400    -0.37980     1.97321     0.00012     0.87587     0.58840           0   0.76027E+003   0.00000E+000   0.00000E+000
  100   992.33000     0.00909     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   992.33000    -0.28873     1.11457     0.00005     0.50530     0.75376           0   0.75618E+003   0.00000E+000   0.00000E+000
  101   983.66800     0.00909     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   983.66800    -0.24130     0.99309     0.00003     0.40736     0.87577           0   0.75209E+003   0.00000E+000   0.00000E+000
  102   976.42900     0.00910     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   976.42900    -0.09430     1.62510     0.00002     0.19554     1.00000           0   0.74799E+003   0.00000E+000   0.00000E+000
  103   973.60000     0.00911     0.00084     0.00011     0.00000     0.00000  1000.00000     0.00000   973.60000    -0.09283     1.71678     0.00002     0.19848     1.00000           0   0.74389E+003   0.00000E+000   0.00000E+000
  104   970.81500     0.00927     0.00083     0.00011     0.00000     0.00000  1000.00000     0.00000   970.81500    -0.00264     1.97217     0.00000     0.00616     1.00000           0   0.73799E+003   0.00000E+000   0.00000E+000
  105   949.79300     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   949.79300    -0.27830     1.62359     0.00007     0.57362     0.77515           0   0.37253E+003   0.00000E+000   0.00000E+000
  106   940.03300     0.00912     0.00060     0.00008     0.00000     0.00000  1000.00000     0.00000   940.03300    -0.02216     0.87011     0.00000     0.03616     1.00000           0   0.32917E+003   0.00000E+000   0.00000E+000
