   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
  107   978.78600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   978.78600    -0.47608     1.55445     0.00011     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  108   987.99000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   987.99000    -0.44576     1.08502     0.00007     0.76496     0.47804           0   0.00000E+000   0.00000E+000   0.00000E+000
  109  1027.54700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1027.54700    -0.34286     1.03596     0.00005     0.58266     0.65498           0   0.00000E+000   0.00000E+000   0.00000E+000
  110  1043.05400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1043.05400    -0.51690     1.98910     0.00016     1.18404     0.36989           0   0.00000E+000   0.00000E+000   0.00000E+000
  111  1108.67700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1108.67700    -0.74949     0.86030     0.00009     1.17507     0.07842           0   0.00000E+000   0.00000E+000   0.00000E+000
  112  1066.41300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1066.41300    -0.47245     0.93656     0.00006     0.77328     0.43624           1   0.00000E+000   0.00000E+000   0.00000E+000
  113  1070.28100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1070.28100    -0.56362     1.36600     0.00011     1.04795     0.30429           0   0.00000E+000   0.00000E+000   0.00000E+000
  114  1184.46500     0.00003     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1184.46500    -0.38123     2.00000     0.00012     0.88523     0.58589           1   0.00000E+000   0.00000E+000   0.00000E+000
  115  1182.11700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1182.11700    -0.92367     1.32362     0.00018     1.64149     0.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  116  1177.38700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1177.38700    -0.53005     1.22337     0.00010     0.94453     0.35101           0   0.00000E+000   0.00000E+000   0.00000E+000
  117  1235.87900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1235.87900    -0.60204     1.11767     0.00010     1.03273     0.25324           0   0.00000E+000   0.00000E+000   0.00000E+000
  118  1378.43800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1378.43800    -0.75140     1.26797     0.00014     1.33401     0.07635           0   0.00000E+000   0.00000E+000   0.00000E+000
  119   970.70300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   970.70300    -0.23223     1.98274     0.00007     0.54024     0.87835           0   0.00000E+000   0.00000E+000   0.00000E+000
  120   963.73600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   963.73600    -0.06673     1.51045     0.00002     0.13299     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  121   961.73400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   961.73400    -0.14397     1.46810     0.00003     0.28260     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  122   957.41500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   957.41500    -0.15973     1.64203     0.00004     0.33185     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  123   952.62300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   952.62300    -0.09927     1.63205     0.00002     0.20581     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  124   949.64500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000    -0.00000   949.64500     0.00000     1.71257    -0.00000    -0.00000     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  125   949.64500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000    -0.00000   949.64500     0.00000     1.95255     0.00001    -0.00000     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  126   949.64500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   949.64500    -0.14371     1.01170     0.00002     0.24404     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  127   941.44400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   941.44400    -0.11328     0.80176     0.00001     0.18043     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  128   939.09300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   939.09300    -0.35547     1.53902     0.00008     0.70826     0.63184           0   0.00000E+000   0.00000E+000   0.00000E+000
  129   958.58800     0.00002     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   958.58800    -0.15639     2.00000     0.00005     0.36695     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  130   969.07800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   969.07800    -0.31920     1.73963     0.00009     0.68084     0.69959           0   0.00000E+000   0.00000E+000   0.00000E+000
  131  1000.92000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1000.92000    -0.45255     1.10000     0.00007     0.77992     0.46726           0   0.00000E+000   0.00000E+000   0.00000E+000
  132  1013.00100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1013.00100    -0.40270     1.98153     0.00013     0.92784     0.54890           0   0.00000E+000   0.00000E+000   0.00000E+000
  133  1102.32800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1102.32800    -1.43537     1.92991     0.00029     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
