         836
x,y,i,j
      10050.000,      -6965.000,   67,  340
      10050.000,      -6955.000,   67,  341
      10050.000,      -6945.000,   67,  342
      10040.000,      -6935.000,   66,  343
      10040.000,      -6925.000,   66,  344
      10030.000,      -6915.000,   65,  345
      10030.000,      -6905.000,   65,  346
      10030.000,      -6895.000,   65,  347
      10020.000,      -6885.000,   64,  348
      10020.000,      -6875.000,   64,  349
      10010.000,      -6865.000,   63,  350
      10010.000,      -6855.000,   63,  351
      10000.000,      -6845.000,   62,  352
      10000.000,      -6835.000,   62,  353
      10000.000,      -6825.000,   62,  354
       9990.000,      -6815.000,   61,  355
       9990.000,      -6805.000,   61,  356
       9980.000,      -6795.000,   60,  357
       9980.000,      -6785.000,   60,  358
       9970.000,      -6775.000,   59,  359
       9970.000,      -6765.000,   59,  360
       9970.000,      -6755.000,   59,  361
       9960.000,      -6745.000,   58,  362
       9960.000,      -6735.000,   58,  363
       9950.000,      -6725.000,   57,  364
       9950.000,      -6715.000,   57,  365
       9950.000,      -6705.000,   57,  366
       9940.000,      -6695.000,   56,  367
       9940.000,      -6685.000,   56,  368
       9930.000,      -6675.000,   55,  369
       9930.000,      -6665.000,   55,  370
       9920.000,      -6655.000,   54,  371
       9920.000,      -6645.000,   54,  372
       9920.000,      -6635.000,   54,  373
       9910.000,      -6625.000,   53,  374
       9910.000,      -6615.000,   53,  375
       9900.000,      -6605.000,   52,  376
       9900.000,      -6595.000,   52,  377
       9900.000,      -6585.000,   52,  378
       9890.000,      -6575.000,   51,  379
       9890.000,      -6565.000,   51,  380
       9880.000,      -6555.000,   50,  381
       9880.000,      -6545.000,   50,  382
       9870.000,      -6535.000,   49,  383
       9870.000,      -6525.000,   49,  384
       9870.000,      -6515.000,   49,  385
       9860.000,      -6505.000,   48,  386
       9860.000,      -6495.000,   48,  387
       9850.000,      -6485.000,   47,  388
       9850.000,      -6475.000,   47,  389
       9850.000,      -6465.000,   47,  390
       9840.000,      -6455.000,   46,  391
       9840.000,      -6445.000,   46,  392
       9830.000,      -6435.000,   45,  393
       9830.000,      -6425.000,   45,  394
       9820.000,      -6415.000,   44,  395
       9820.000,      -6405.000,   44,  396
       9820.000,      -6395.000,   44,  397
       9810.000,      -6385.000,   43,  398
       9810.000,      -6375.000,   43,  399
       9800.000,      -6365.000,   42,  400
       9800.000,      -6355.000,   42,  401
       9800.000,      -6345.000,   42,  402
       9790.000,      -6335.000,   41,  403
       9790.000,      -6325.000,   41,  404
       9780.000,      -6315.000,   40,  405
       9780.000,      -6305.000,   40,  406
       9770.000,      -6295.000,   39,  407
       9770.000,      -6285.000,   39,  408
       9770.000,      -6275.000,   39,  409
       9760.000,      -6265.000,   38,  410
       9760.000,      -6255.000,   38,  411
       9750.000,      -6245.000,   37,  412
       9750.000,      -6235.000,   37,  413
       9750.000,      -6225.000,   37,  414
       9740.000,      -6215.000,   36,  415
       9740.000,      -6205.000,   36,  416
       9740.000,      -6195.000,   36,  417
       9730.000,      -6185.000,   35,  418
       9730.000,      -6175.000,   35,  419
       9730.000,      -6165.000,   35,  420
       9720.000,      -6155.000,   34,  421
       9720.000,      -6145.000,   34,  422
       9720.000,      -6135.000,   34,  423
       9720.000,      -6125.000,   34,  424
       9710.000,      -6115.000,   33,  425
       9710.000,      -6105.000,   33,  426
       9710.000,      -6095.000,   33,  427
       9700.000,      -6085.000,   32,  428
       9700.000,      -6075.000,   32,  429
       9700.000,      -6065.000,   32,  430
       9690.000,      -6055.000,   31,  431
       9690.000,      -6045.000,   31,  432
       9690.000,      -6035.000,   31,  433
       9690.000,      -6025.000,   31,  434
       9680.000,      -6015.000,   30,  435
       9680.000,      -6005.000,   30,  436
       9680.000,      -5995.000,   30,  437
       9670.000,      -5985.000,   29,  438
       9670.000,      -5975.000,   29,  439
       9670.000,      -5965.000,   29,  440
       9660.000,      -5955.000,   28,  441
       9660.000,      -5945.000,   28,  442
       9660.000,      -5935.000,   28,  443
       9660.000,      -5925.000,   28,  444
       9650.000,      -5915.000,   27,  445
       9650.000,      -5905.000,   27,  446
       9650.000,      -5895.000,   27,  447
       9640.000,      -5885.000,   26,  448
       9640.000,      -5875.000,   26,  449
       9640.000,      -5865.000,   26,  450
       9630.000,      -5855.000,   25,  451
       9630.000,      -5845.000,   25,  452
       9630.000,      -5835.000,   25,  453
       9620.000,      -5825.000,   24,  454
       9620.000,      -5815.000,   24,  455
       9620.000,      -5805.000,   24,  456
       9620.000,      -5795.000,   24,  457
       9610.000,      -5785.000,   23,  458
       9610.000,      -5775.000,   23,  459
       9610.000,      -5765.000,   23,  460
       9600.000,      -5755.000,   22,  461
       9600.000,      -5745.000,   22,  462
       9600.000,      -5735.000,   22,  463
       9590.000,      -5725.000,   21,  464
       9590.000,      -5715.000,   21,  465
       9590.000,      -5705.000,   21,  466
       9590.000,      -5695.000,   21,  467
       9580.000,      -5685.000,   20,  468
       9580.000,      -5675.000,   20,  469
       9580.000,      -5665.000,   20,  470
       9570.000,      -5655.000,   19,  471
       9570.000,      -5645.000,   19,  472
       9570.000,      -5635.000,   19,  473
       9560.000,      -5625.000,   18,  474
       9560.000,      -5615.000,   18,  475
       9560.000,      -5605.000,   18,  476
       9560.000,      -5595.000,   18,  477
       9550.000,      -5585.000,   17,  478
       9550.000,      -5575.000,   17,  479
       9550.000,      -5565.000,   17,  480
       9540.000,      -5555.000,   16,  481
       9540.000,      -5545.000,   16,  482
       9540.000,      -5535.000,   16,  483
       9530.000,      -5525.000,   15,  484
       9530.000,      -5515.000,   15,  485
       9530.000,      -5505.000,   15,  486
       9520.000,      -5495.000,   14,  487
       9520.000,      -5485.000,   14,  488
       9520.000,      -5475.000,   14,  489
       9520.000,      -5465.000,   14,  490
       9510.000,      -5455.000,   13,  491
       9510.000,      -5445.000,   13,  492
       9510.000,      -5435.000,   13,  493
       9500.000,      -5425.000,   12,  494
       9500.000,      -5415.000,   12,  495
       9500.000,      -5405.000,   12,  496
       9490.000,      -5395.000,   11,  497
       9490.000,      -5385.000,   11,  498
       9490.000,      -5375.000,   11,  499
       9490.000,      -5365.000,   11,  500
       9480.000,      -5355.000,   10,  501
       9480.000,      -5345.000,   10,  502
       9480.000,      -5335.000,   10,  503
       9470.000,      -5325.000,    9,  504
       9470.000,      -5315.000,    9,  505
       9470.000,      -5305.000,    9,  506
       9460.000,      -5295.000,    8,  507
       9460.000,      -5285.000,    8,  508
       9460.000,      -5275.000,    8,  509
       9460.000,      -5265.000,    8,  510
       9460.000,      -5255.000,    8,  511
       9460.000,      -5245.000,    8,  512
       9460.000,      -5235.000,    8,  513
       9460.000,      -5225.000,    8,  514
       9460.000,      -5215.000,    8,  515
       9460.000,      -5205.000,    8,  516
       9460.000,      -5195.000,    8,  517
       9460.000,      -5185.000,    8,  518
       9460.000,      -5175.000,    8,  519
       9450.000,      -5165.000,    7,  520
       9450.000,      -5155.000,    7,  521
       9450.000,      -5145.000,    7,  522
       9450.000,      -5135.000,    7,  523
       9450.000,      -5125.000,    7,  524
       9450.000,      -5115.000,    7,  525
       9450.000,      -5105.000,    7,  526
       9450.000,      -5095.000,    7,  527
       9450.000,      -5085.000,    7,  528
       9450.000,      -5075.000,    7,  529
       9450.000,      -5065.000,    7,  530
       9450.000,      -5055.000,    7,  531
       9450.000,      -5045.000,    7,  532
       9450.000,      -5035.000,    7,  533
       9450.000,      -5025.000,    7,  534
       9440.000,      -5015.000,    6,  535
       9440.000,      -5005.000,    6,  536
       9440.000,      -4995.000,    6,  537
       9440.000,      -4985.000,    6,  538
       9440.000,      -4975.000,    6,  539
       9440.000,      -4965.000,    6,  540
       9440.000,      -4955.000,    6,  541
       9440.000,      -4945.000,    6,  542
       9440.000,      -4935.000,    6,  543
       9440.000,      -4925.000,    6,  544
       9440.000,      -4915.000,    6,  545
       9440.000,      -4905.000,    6,  546
       9440.000,      -4895.000,    6,  547
       9440.000,      -4885.000,    6,  548
       9440.000,      -4875.000,    6,  549
       9430.000,      -4865.000,    5,  550
       9430.000,      -4855.000,    5,  551
       9430.000,      -4845.000,    5,  552
       9430.000,      -4835.000,    5,  553
       9430.000,      -4825.000,    5,  554
       9430.000,      -4815.000,    5,  555
       9430.000,      -4805.000,    5,  556
       9430.000,      -4795.000,    5,  557
       9430.000,      -4785.000,    5,  558
       9430.000,      -4775.000,    5,  559
       9430.000,      -4765.000,    5,  560
       9430.000,      -4755.000,    5,  561
       9430.000,      -4745.000,    5,  562
       9430.000,      -4735.000,    5,  563
       9430.000,      -4725.000,    5,  564
       9420.000,      -4715.000,    4,  565
       9420.000,      -4705.000,    4,  566
       9420.000,      -4695.000,    4,  567
       9420.000,      -4685.000,    4,  568
       9420.000,      -4675.000,    4,  569
       9420.000,      -4665.000,    4,  570
       9420.000,      -4655.000,    4,  571
       9420.000,      -4645.000,    4,  572
       9420.000,      -4635.000,    4,  573
       9420.000,      -4625.000,    4,  574
       9420.000,      -4615.000,    4,  575
       9420.000,      -4605.000,    4,  576
       9420.000,      -4595.000,    4,  577
       9420.000,      -4585.000,    4,  578
       9420.000,      -4575.000,    4,  579
       9410.000,      -4565.000,    3,  580
       9410.000,      -4555.000,    3,  581
       9410.000,      -4545.000,    3,  582
       9410.000,      -4535.000,    3,  583
       9410.000,      -4525.000,    3,  584
       9410.000,      -4515.000,    3,  585
       9410.000,      -4505.000,    3,  586
       9410.000,      -4495.000,    3,  587
       9410.000,      -4485.000,    3,  588
       9410.000,      -4475.000,    3,  589
       9410.000,      -4465.000,    3,  590
       9410.000,      -4455.000,    3,  591
       9410.000,      -4445.000,    3,  592
       9410.000,      -4435.000,    3,  593
       9400.000,      -4425.000,    2,  594
       9400.000,      -4415.000,    2,  595
       9400.000,      -4405.000,    2,  596
       9400.000,      -4395.000,    2,  597
       9400.000,      -4385.000,    2,  598
       9400.000,      -4375.000,    2,  599
       9400.000,      -4365.000,    2,  600
       9410.000,      -4355.000,    3,  601
       9410.000,      -4345.000,    3,  602
       9410.000,      -4335.000,    3,  603
       9410.000,      -4325.000,    3,  604
       9410.000,      -4315.000,    3,  605
       9410.000,      -4305.000,    3,  606
       9410.000,      -4295.000,    3,  607
       9420.000,      -4285.000,    4,  608
       9420.000,      -4275.000,    4,  609
       9420.000,      -4265.000,    4,  610
       9420.000,      -4255.000,    4,  611
       9420.000,      -4245.000,    4,  612
       9420.000,      -4235.000,    4,  613
       9420.000,      -4225.000,    4,  614
       9430.000,      -4215.000,    5,  615
       9430.000,      -4205.000,    5,  616
       9430.000,      -4195.000,    5,  617
       9430.000,      -4185.000,    5,  618
       9430.000,      -4175.000,    5,  619
       9430.000,      -4165.000,    5,  620
       9440.000,      -4155.000,    6,  621
       9440.000,      -4145.000,    6,  622
       9440.000,      -4135.000,    6,  623
       9440.000,      -4125.000,    6,  624
       9440.000,      -4115.000,    6,  625
       9440.000,      -4105.000,    6,  626
       9440.000,      -4095.000,    6,  627
       9450.000,      -4085.000,    7,  628
       9450.000,      -4075.000,    7,  629
       9450.000,      -4065.000,    7,  630
       9450.000,      -4055.000,    7,  631
       9450.000,      -4045.000,    7,  632
       9450.000,      -4035.000,    7,  633
       9450.000,      -4025.000,    7,  634
       9460.000,      -4015.000,    8,  635
       9460.000,      -4005.000,    8,  636
       9460.000,      -3995.000,    8,  637
       9460.000,      -3985.000,    8,  638
       9460.000,      -3975.000,    8,  639
       9460.000,      -3965.000,    8,  640
       9460.000,      -3955.000,    8,  641
       9470.000,      -3945.000,    9,  642
       9470.000,      -3935.000,    9,  643
       9470.000,      -3925.000,    9,  644
       9470.000,      -3915.000,    9,  645
       9470.000,      -3905.000,    9,  646
       9470.000,      -3895.000,    9,  647
       9480.000,      -3885.000,   10,  648
       9480.000,      -3875.000,   10,  649
       9480.000,      -3865.000,   10,  650
       9480.000,      -3855.000,   10,  651
       9480.000,      -3845.000,   10,  652
       9480.000,      -3835.000,   10,  653
       9480.000,      -3825.000,   10,  654
       9490.000,      -3815.000,   11,  655
       9490.000,      -3805.000,   11,  656
       9490.000,      -3795.000,   11,  657
       9490.000,      -3785.000,   11,  658
       9490.000,      -3775.000,   11,  659
       9490.000,      -3765.000,   11,  660
       9490.000,      -3755.000,   11,  661
       9500.000,      -3745.000,   12,  662
       9500.000,      -3735.000,   12,  663
       9500.000,      -3725.000,   12,  664
       9500.000,      -3715.000,   12,  665
       9500.000,      -3705.000,   12,  666
       9500.000,      -3695.000,   12,  667
       9510.000,      -3685.000,   13,  668
       9510.000,      -3675.000,   13,  669
       9510.000,      -3665.000,   13,  670
       9510.000,      -3655.000,   13,  671
       9510.000,      -3645.000,   13,  672
       9510.000,      -3635.000,   13,  673
       9510.000,      -3625.000,   13,  674
       9520.000,      -3615.000,   14,  675
       9520.000,      -3605.000,   14,  676
       9520.000,      -3595.000,   14,  677
       9520.000,      -3585.000,   14,  678
       9520.000,      -3575.000,   14,  679
       9520.000,      -3565.000,   14,  680
       9520.000,      -3555.000,   14,  681
