   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
  101   157.83300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   157.83300    -0.10410     1.00000     0.00001     0.29884     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  102   159.34100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   159.34100    -0.15080     1.00000     0.00002     0.43291     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  103   163.07500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   163.07500    -0.26404     1.00000     0.00003     0.75798     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  104   172.35300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   172.35300    -0.34350     0.99999     0.00003     0.98608     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  105   168.91800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   168.91800    -0.41317     1.00000     0.00004     1.18608     0.77964           1   0.00000E+000   0.00000E+000   0.00000E+000
  106   176.63400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   176.63400    -0.27400     0.99999     0.00003     0.78657     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  107   173.89400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   173.89400    -0.10897     1.00000     0.00001     0.31281     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  108   178.77500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   178.77500    -0.15139     1.00000     0.00002     0.43461     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  109   183.06800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   183.06800    -0.30356     1.00000     0.00003     0.87145     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  110   185.15200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   185.15200    -0.20840     1.00000     0.00002     0.59826     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  111   188.55700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   188.55700    -0.34050     0.99999     0.00003     0.97748     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  112   191.63400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   191.63400    -0.21758     1.00000     0.00002     0.62461     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  113   193.14600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   193.14600    -0.15120     1.00000     0.00002     0.43405     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  114   195.29400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   195.29400    -0.21480     1.00000     0.00002     0.61663     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  115   197.32900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   197.32900    -0.20350     1.00000     0.00002     0.58419     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  116   199.66700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   199.66700    -0.16532     1.00000     0.00002     0.47460     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  117   201.74900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   201.74900    -0.20820     1.00000     0.00002     0.59768     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  118   204.72000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   204.72000    -0.21008     1.00000     0.00002     0.60309     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  119   208.52500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   208.52500    -0.26906     1.00000     0.00003     0.77239     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  120   211.42900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   211.42900    -0.20535     1.00000     0.00002     0.58949     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  121   213.72400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   213.72400    -0.22950     0.99999     0.00002     0.65883     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  122   214.48100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   214.48100    -0.05353     1.00000     0.00001     0.15367     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  123   217.80400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   217.80400    -0.23497     1.00000     0.00002     0.67454     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  124   220.19900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   220.19900    -0.23950     1.00000     0.00002     0.68754     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  125   224.49500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   224.49500    -0.42960     1.00000     0.00004     1.23326     0.72684           1   0.00000E+000   0.00000E+000   0.00000E+000
  126   232.26300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   232.26300    -0.54929     1.00000     0.00005     1.57685     0.37504           1   0.00000E+000   0.00000E+000   0.00000E+000
  127   240.05200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   240.05200    -0.55077     1.00000     0.00006     1.58111     0.37101           1   0.00000E+000   0.00000E+000   0.00000E+000
  128   247.50400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   247.50400    -0.52694     0.99999     0.00005     1.51269     0.43667           1   0.00000E+000   0.00000E+000   0.00000E+000
  129   250.04500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   250.04500    -0.17968     1.00000     0.00002     0.51580     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  130   253.42700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   253.42700    -0.23915     1.00000     0.00002     0.68652     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  131   256.64600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   256.64600    -0.22762     1.00000     0.00002     0.65343     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  132   260.60700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   260.60700    -0.14070     1.00000     0.00001     0.40391     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  133   259.20000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   259.20000    -0.18060     1.00000     0.00002     0.51844     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  134   262.89200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   262.89200    -0.16158     1.00000     0.00002     0.46384     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
